dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,rexnet_100,8,pass,332,1,5,4,0,0,0,64.943703,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,beit_base_patch16_224,8,pass,371,1,5,4,0,0,0,22.640103,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,tnt_s_patch16_224,8,pass,787,1,5,4,0,0,0,50.520543,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,eca_halonext26ts,8,pass,333,1,5,4,0,0,0,43.048390,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,mixnet_l,8,pass,579,1,5,4,0,0,0,69.913958,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,regnety_002,8,pass,267,1,5,4,0,0,0,28.414057,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,cspdarknet53,8,pass,320,1,5,4,0,0,0,41.237078,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,ese_vovnet19b_dw,8,pass,134,2,5,4,0,0,0,27.103857,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,botnet26t_256,8,pass,272,1,5,4,0,0,0,32.717186,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,deit_base_distilled_patch16_224,8,pass,267,1,5,4,0,0,0,19.879577,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,repvgg_a2,8,pass,231,1,5,4,0,0,0,28.577625,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,sebotnet33ts_256,8,pass,384,2,5,4,0,0,0,43.760428,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,twins_pcpvt_base,8,pass,851,1,5,4,0,0,0,58.356633,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,mnasnet_100,8,pass,205,2,5,4,0,0,0,33.293986,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,deit_tiny_patch16_224.fb_in1k,8,pass,263,1,5,4,0,0,0,19.154524,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,selecsls42b,8,pass,174,1,5,4,0,0,0,23.891701,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,visformer_small,8,pass,319,1,5,4,0,0,0,25.234256,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,fbnetc_100,8,pass,258,2,5,4,0,0,0,39.462284,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,mobilenetv2_100,8,pass,204,1,5,4,0,0,0,35.164062,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,hrnet_w18,8,pass,1471,1,5,4,0,0,0,170.213439,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,vit_base_patch14_dinov2.lvd142m,8,pass,286,1,5,4,0,0,0,20.658253,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,dla102,8,pass,485,1,5,4,0,0,0,53.828916,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,inception_v3,8,pass,408,1,5,4,0,0,0,6.726176,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,vit_base_patch16_224,8,pass,263,1,5,4,0,0,0,20.234607,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,spnasnet_100,8,pass,252,1,5,4,0,0,0,38.444074,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,cait_m36_384,8,fail_accuracy,1255,1,5,4,0,0,0,71.589282,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,res2net101_26w_4s,8,pass,973,1,5,4,0,0,0,100.370392,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,jx_nest_base,8,fail_to_run,737,1,5,4,0,0,0,34.237712,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,vit_base_patch16_siglip_256,8,pass,283,1,5,4,0,0,0,24.345303,inductor_timm_models_float16_training_xpu_accuracy.csv
