2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
668:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_tan_xpu_complex64
669:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_tanh_xpu_complex64
670:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_acos_xpu_complex64
671:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_acosh_xpu_complex64
672:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_asin_xpu_complex64
673:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_asinh_xpu_complex64
674:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_log10_xpu_complex64
675:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_log1p_xpu_complex64
676:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_log_xpu_complex64
677:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_asinh_xpu_complex64
678:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_nn_functional_tanhshrink_xpu_complex64
679:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_round_decimals_3_xpu_bfloat16
680:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_tan_xpu_complex64
681:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal_tanh_xpu_complex64
682:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large__refs_acosh_xpu_complex64
683:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large__refs_asinh_xpu_complex128
